condition,review,rating,usefulCount
Birth Control,"""I&#039;ve taken Sprintec for nearly three years now, and I love it. I have an incredibly predictable and easy period every month. Also, it has cleared my skin of acne noticeably well. I have never experienced any weight gain while on this pill either. However, something my boyfriend I both have noticed is that my sex drive has increased quite a bit, especially during the first couple months of taking!""",10.0,24
Diarrhea,"""Works.""",9.0,10
Depression,"""I started taking Wellbutrin about two weeks ago.  The first week was fine, but on the second week my blood pressure became elevated along with uncontrollable muscle tremors, trouble concentrating, overheating in my face, difficulty concentration and speaking, dry mouth, sweating, and headaches. I had to quit taking it.""",2.0,105
Birth Control,"""I love the Implanon. I have had it 3 yrs and it is very effective.  The only problem I had was the long periods that ranged from 7-10 days.""",9.0,37
Depression,"""I&#039;m only on day 4 and already feeling a difference. I&#039;m a 33 year old male and have been depressed for about 5 years and also suffer from anxiety in the form of being a chronic worry wort. I would find things to worry about. It&#039;s almost ended my marriage. I was brought up in a world where therapy and medication was taboo.  At the urging of my wife, I saw my physician this week and she put me on 20 mg and therapy. I&#039;m only 4 days in, but already noticed a calming effect.  The only side effects I&#039;ve noticed thus far is drowsiness, but it seems if I take a quick 5-10 min nap after feeling drowsy, I&#039;m good. My physician says it will go away after a few weeks. Haven&#039;t had sex yet so I can&#039;t comment on sexual side effects.""",10.0,9
Depression,"""My neurologist prescribed Nortriptyline for Neuropathy. It did not help much for that condition.However, at the time I was suffering from severe depression due to having to place my husband in a nursing home. The medication did wonders for me and I have been a daily user since that time.""",8.0,71
Bowel Preparation,"""4-17. I was so skeptical to take the medication Suprep (based on the possible side effects). I took my first bottle at 4:30 (did not drink the entire 16 oz at once) I drink big sips until I finished then waited 30 minutes then I drank another 16 oz of water and waited another 30 minutes then finished. Took effect within an hour and half I started. I just got a small bother some headache but is going away from now. My is very clear I haven&#039;t really have gone to the bathroom that much, since I stop eating yesterday. If I managed to handle without food another day then I don&#039;t need to drink the second bottle since I am clear now. So the bottom line works ok for me.""",10.0,12
Birth Control,"""I&#039;ve been taking Gianvi for about 4 months now and at first I really enjoyed it. Now I&#039;m feeling nauseous, my breasts are swollen and painful and I&#039;ve had a headache every other day for a month. I&#039;ve also noticed a slight weight gain and I&#039;m moody as hell not to mention my sex drive is gone. I&#039;m so frustrated I want off this pill and back on my old one, Ocella. I&#039;m calling my dr and demanding to switch back so I can stop being a monster and enjoy my sex life with my fiance again.""",4.0,7
Birth Control,"""Although Apri was very effective in doing its main job, preventing pregnancy, the side effects were very bad. I had perfectly clear skin prior to going on Apri, and about a month after starting I started having very severe break outs. I had noticeable mood swings that were not present before going on Apri. After being on Apri for 5 months, I have now switched to Sprintec which is a pill with a higher dose of estrogen. After being on Sprintec for a month I have noticed my skin clearing slightly and no crying spells before my period. Works better for me and would recommend it over Apri!""",5.0,10
Bipolar Disorde,"""I have bipolar1, general &amp; social anxiety, post traumatic stress disorder and borderline personality disorder. I&#039;ve been on pretty much everything over the last 14 years. Seroquel worked well for over a year but the weight gain was awful. Regular exercise and healthy eating. Lithium and Lamictal replaced the Seroquel and seemed efficient, couldn&#039;t handle the nausea anymore after 2 yrs. 5 weeks ago I decided I wanted try Saphris. Psych agreed, decided to start low and slow as I tend to have allergic or increased anxiety with most medicines. Started on 2.5mg for a week. I literally felt better the next morning. I had increased energy and felt happy for the first time in over 10yrs. I&#039;m up to 5mg pm, 2.5mg am. Anxiety decreased, and down to 1.5mg of Klonopin daily from 3mg. This is a miracle for me! """,9.0,92
ADHD,"""I had taken Adderall, Concerta and other ADHD medications which all caused me to lose my appetite, get moody or come down from it and I felt I wasn&#039;t able to be myself. Strattera took a few weeks to kick in, I fell asleep constantly for the first two-four weeks (I know lots of people jump the Strattera ship then saying it is not working or making them sleepy) but after 4 weeks I started to feel like myself again. Except my mind got clearer, I could organize my room/now apartment, do all my school work, do everything I need to do, have better conversations and do not binge eat. I take 40mg and have had no side effects from it. It also helps my anxiety. It is my miracle.""",10.0,170
Pain,"""Went to urgent care for neck, shoulder, and arm pain. Had taken ibuprofen, naproxen, aspirin, and muscle relaxants to no avail.  Given a shot in the hip. Felt tingling throughout my limbs but only slight decrease in neck pain. By the time I got home, less than 2 hours, pain was back at the same level as before the shot. """,1.0,6
Migraine Prevention,"""Had migraines since I was 6. The past 1.5 year&#039;s I&#039;ve had migraine every single day. I&#039;m now 33 years old and have this medicine since February this year. The first 3 months I had 25 mg, now 10mg. Headaches were completely gone. Since I have the lower dosage, it&#039;s coming back a bit so I will go back to 20 -25mg. This is the first medicine that&#039;s actually working so I am very happy with it !""",8.0,85
Benign Prostatic Hyperplasia,"""I use Flomax for a least 5 years, side effects were awful. Started Uroxatral one year ago and my life change 100%.
This is an excellent medication.""",10.0,62
Birth Control,"""So far I am extremely impressed! After beginning birth control on Reclipsen (the worst pill in the world) I began Gildess because my friend used it and claimed she actually lost weight! So I gave it a try. Weight loss did in fact occur. The junk food cravings that I had accumulated because of Reclipsen subsided quickly and my appetite has gone way down. I only get hungry about once a day. My severe cystic back acne is gone. GONE. It just vanished with this pill. My face cleared up a little as well and the overall texture of my skin is improved. Softer, smaller pores, clearer. NOW THE CONS: Nausea for the first 3 weeks. spotting for the first month. I&#039;m a little more emotional but it&#039;s controllable. I really do recommend this pill.""",9.0,46
Birth Control,"""Aviane is the second type of birth control that I have taken. It&#039;s already been a month and I love it. My skin is completely flawless and I haven&#039;t experienced any side effects besides tender breast. I haven&#039;t gained any weight either. This birth control is great!""",10.0,35
Anxiety,"""Works almost immediately. Gets rid of chest tightness, anger, emotional rollercoaster. Just doesn&#039;t last a full 8 hours.""",9.0,65
ADHD,"""It helps, but not for very long. But it definitely doesn&#039;t make me as irritable as other ADHD medications""",8.0,31
Hot Flashes,"""I went to my obgyn after experiencing a very emotional year with family and work then started hot flashes!!  Thankfully, my obgyn was wonderful and didn&#039;t think I was crazy!  She prescribed 75 mg Effexor -generic venlafaxine -much cheaper too.  I saw improvement in hot flashes and mood within 2 days.  I am on week 2 and feel more like my old self, minor hot flash symptoms, lost 4 pounds and I don&#039;t feel the need to eat everything in sight!  First week I did experience sleepiness and yawning but that has gone away and I am alert and feeling good!""",10.0,156
Birth Control,"""For birth control it definitely works. I&#039;ve had this in for a little over a year. I do get my period every month. But I feel like every other month I either get two periods or it lasts for 3 weeks at least. I am also NEVER in the mood for sex.  I&#039;m considering getting it out sooner than 3 recommended.""",9.0,40
Bipolar Disorde,"""I&#039;m diagnosed with bipolar 1 disorder with psychotic features. When I first started this medication about 8 months ago, I would get extremely tired soon after I took it, also nauseous. I have to take it at night. The tiredness put me in a low mood but not depressed. After steadily taking it, my doctor put me on a stimulant and that cancels out the tiredness. Honestly I&#039;m so happy at this point in time and I&#039;ve come so far. I have a job now and a 4.5 GPA and I volunteer. It really has changed my life. I also lost almost 40 pounds and I feel healthier and love life. If you take this medicine everyday and stick to it, it really works. If I skip I definitely feel very agitated and paranoid and angry. I take 40mg a night, sometimes I do still get nauseous.""",9.0,83
Nasal Carriage of Staphylococcus aureus,"""After several uses of this effective medication I started having a sense of dizziness, shortness of breath and shaking.  Now if I use it just once I have an occurrence of the same symptoms.  I think I have an allergy to Bactroban which gets worse every time I use it.""",6.0,19
Erectile Dysfunction,"""Wiw""",10.0,34
Smoking Cessation,"""I have been taking it for 1 week...I get headaches and agitation, abit dizzy. I was debating wheather to stop taking it...but I will try a few more days. Will this go away as I continue!!""",8.0,34
Allergic Rhinitis,"""Have used Dymista for a full week, but began noticing significant relief after about 5 days. Fall is usually a bad season for me (ragweed, mold, etc) but now I&#039;m completely off the antihistamine &amp; decongestant pills after taking various prescription forms for the past 30  years. Still a little post nasal drip but it works better than anything I&#039;ve had in several years.""",9.0,21
Depression,"""Would give this a 10. Have tried every anxiety/depression, SSRIs and MAOIs, etc. out there. One day on this and I felt wonderful, like I woke up as a new normal person. Yes you may gain a lot of weight but only if you eat carbs. You just cannot take this and eat chips, candy, etc. Lean meats, proteins and veg and you will have NO problems, the effect is worth it. If you can put the fork down, it can change your life. My Dr. warned me about the potential for weight gain, but told me he thought I had the willpower to resist the cravings to eat junk, which I did. Try it.""",10.0,214
Birth Control,"""My experience with this implant at first was awful. I bled for the first 4 months every other day. But then miraculously I stopped bleeding and now for the next 2 years and 8 months I wont have to worry about getting pregnant. """,10.0,10
Bacterial Infection,"""I was on Flagyl for a week and it seemed like the longest week ever! The pill is very effective but it tastes HORRIBLE! I&#039;m so glad today was my last day""",10.0,13
Benign Essential Trem,"""I have benign tremors and hypertension.  I was taking one Inderol LA 60mg daily for the hypertension.  I went to an neurologist about the tremors and he asked my cardiologist to change me to one in the morning and two at night.  That was about 5 years ago.  It has been a great help for the tremors and my BP is awesome! [e.g., 120/75]  Now after so long I have developed a tolerance.  My docs think more per day will make my blood pressure too low. If I am really diligent about taking it the tremors are minimal.""",9.0,72
Osteoarthritis,"""I had a Synvisc-One shot about 7 months ago in my right knee. The injection was not painful at all - just uncomfortable as the thick fluid goes in to the knee. I had pain relief for 6 full months. After this experience, I decided to get 2 shots - one in each knee. I had the shots done yesterday, and the pain from the shots was excruciating. The experience was nothing like the first time. I felt like I was going to pass out and as if I had been &quot;sucker punched&quot; in the gut. I couldn&#039;t get off the exam table for 20 minutes and could barely get in my car to drive home. I was in such pain and discomfort I went to bed and slept for 12 hours. Today, I still have discomfort and aching. """,10.0,53
HIV Infection,"""I&#039;m very happy with this medicine, and I can only encourage anybody who&#039;s hesitating to start an HIV treatment to go for this one. After 5 years, I finally decided it was time to start taking medicine, as my CD4 were going down and my Viral load going higher and higher! There was no doubt, I was freaking out! I finally got offered with STRIBILD , as it is very practical to take one tablet per day. I must say that I almost didn&#039;t have ANY side effects, apart from the part that I was very worried. After 1 month and half, my VIRAL load became undetectable, it took more time for my CD4 to go back to normal, after 6 month, I am at 600 CD4. I feel very happy, relieved, much more energy, I have had no more gastric and diarrhea issues !""",10.0,32
Birth Control,"""I&#039;ve been on Beyaz since September 2013 after switching from the Depo Shot. I love the pill, however, I get really bad cramps when my period comes. Not sure if it&#039;s because my body is still adjusting to being off the shot or what.""",6.0,8
Benign Prostatic Hyperplasia,"""Been taking for 8 months and working well. I only get up once at night now.  I have a penile implant so impotence is no problem.  I don&#039;t ejaculate any fluid but orgasms are still great.""",8.0,10
Multiple Sclerosis,"""I was in clinical trial and continued on Gilenya for 5 years after. Overall awesome medicine regarding management of my multiple sclerosis progression based on MRI of brain. Symptoms did worsen over time as it is not a cure and well progression happens. Made decision with Neuro to switch to another treatment (Aubagio) due to lesions showing on spine and a black hole showing on brain MRI - never had side effects to mention except maybe additional tiredness after dosing, switched to nights for 3 months but then went back to mornings. Blood pressure ran low from an hour till about 3 hours following dosage but never to a point of dizzy or passing out. Was usually 50/70 to 60/80 which freaked out nurses but my BP was always around 80-82. I recommend it!""",9.0,43
ADHD,"""I am 34 years old. I started with 27mg. Over several weeks I worked up to 36mg in morning, then 10mg in mid afternoon. My husband has seen an improvement in my mood. I feel less angry and better able to cope with daily life. I stay awake during the day now (I was very fatigued pre-Concerta and sleeping a lot). I am sleeping the best I ever have at night. My mind doesn&#039;t race as much as it used to. I still experience anxiety, but it hasn&#039;t increased since Concerta. I get more headaches and I seem to continuously suck and rub my tongue on the inside of my mouth. It annoys me and causes tongue ulcers, but I guess it is a small price to pay.""",7.0,42
Birth Control,"""Sweating all the time....right through my clothes.    Think too high for me""",4.0,8
Obesity,"""52 year old Female. I have now been on 7.5 mg for 14 days, 28 days total. Hunger much reduced. Side effects: headaches; ringing in my ears lasted about a week. Still have slight numbness in cheeks. Have lost 13 lbs in 28 days, the most weight I have been able to lose in 12 years - I am thrilled. My morning blood sugar was 150 to 180, now 70 to 120. Oh...and I&#039;ve stopped snoring!""",10.0,74
Chronic Pain,"""OxyContin  seems to work really well for pain. But there is that is a  few cons about this medicine for me is that my body would get used to to it and I would need to up the dose. I went from 10mg (2x a day) all the way up to 30  mg (2x a day) It has always only lasted tops 7 hours instead of the advertised 12. It without question has never lasted 12 hours. When I started taking this medicine by the 7 hour my legs would really be on fire again like clock work. So 2 pills would last 14 hours instead of 24 like the manufacturer says. So if you take this medicine make sure you get some breakthrough medicine. Make sure you take Exlax with this medicine. You will be constipated.""",8.0,143
Birth Control,"""I&#039;ve been on it for 7 months now and it has been a good experience. At first I was scared to take it due to the possible side effects, and weight gain! Only the first month I experienced mild headaches and morning sickness but I think it was my body adjusting to it. No weight gain at all which makes it great, my periods are regular always on time, and cramps got better. The only thing I noticed that I get emotional the first week of starting a new package, but it helps having a very comprehensive boyfriend other than that the pill is great! I enjoy my sex better, without stressing of getting pregnant! I&#039;ll soon be getting my 8th and 9th package.""",9.0,21
Obsessive Compulsive Disorde,"""Absolutely saved my life.....I have suffered with OCD and panic attacks my whole life....about 3 years ago it got worse and lead all the way to agoraphobia....I went on a few meds.....after  being on Prozac for a few months and it deff helping I asked my regular MD to try Remeron....I can&#039;t tell you how amazing my life is now....I am doing things I didnt think were possible......absolutely amazing for appetite I&#039;ve been 140 my whole life... dropped down to 120 from anxiety after 3 months of this drug I&#039;m at 168....please try this....its unlike any other med I&#039;ve tried...if you&#039;re like how I was you&#039;re probably looking at all this stuff in fear.....don&#039;t take a risk.....get your life back....""",10.0,47
Cough and Nasal Congestion,"""I was diagnosed with chronic bronchitis and/or COPD.  When I get a cold it usually goes straight to my chest and I end up coughing for days,  Liquid Mucinex is the only thing that kept the cold out of my chest! """,9.0,26
Birth Control,"""I have been on Microgestin Fe 1/20 for almost 9 Months &amp; I have to say that I can&#039;t complain. This birth control has worked very well with my body, few days or none periods, I do actually notice I get really emotional. Haven&#039;t noticed any difference in sex drive. Overall great pill.""",8.0,19
Birth Control,"""I&#039;m on my 2nd pack of Sprintec and the biggest side effect I have gotten is bad acne around my jaw line and chin, cystic acne.  I&#039;ve had to use Proactive so it wouldn&#039;t get worse. More headaches and body pain. My period was a little heavier and more painful then when I was on Minastrin 24. My period came 2 days earlier then before. I&#039;m not sure about weight gain yet but Minastrin was terrible, I gained about 15 pounds.""",7.0,6
Birth Control,"""I started this birth control about 3 years ago because I was experiencing heavy and painful periods and I love it! It gave me barely any side effects and it tastes good, like mint. My periods happen around day 3 of the sugar pill and last for about 2-3 days and are very light. I recommend this birth control for anyone!""",10.0,14
High Blood Pressure,"""This medication acts fast, causes me be be jittery, my blood pressure is low and then settles down after a few hours, then my blood pressure rises again. I take 2 a day.""",5.0,17
Insomnia,"""I was just put on 50 mg of amitriptyline for extreme insomnia, anxiety, and depression. I have suffered from insomnia my entire life and my job is very stressful as a nurse working rotating shift at a hospital. I would stay up for 3 days at a time while working crazy 12 hour back to back shifts. I was at my wit&#039;s end, so exhausted, delirious, and beyond stressed. I have tried so many different medicines to help with sleep and anxiety. None have even come anywhere as close as Amitriptyline has, to giving me good sleep. I had lost hope that I would ever be able to sleep good again. Amitriptyline has SAVED me. I can fall asleep easily, I don&#039;t wake up every hour, and I sleep like a BABY! I can now function at work again.  This medicine saved me.""",9.0,330
Opiate Withdrawal,"""When I first went on methadone for opiate withdrawal I was skeptical but sure enough I suffered NO withdrawal symptoms. I would have rated it a ten instead of a 9 but I DID kind of crave opiates for the first month I was on it.""",9.0,31
Birth Control,"""I love this birth control! I&#039;ve been on it for about 2 months. The first month was rough. I was very gassy, moody, my boobs were so tender (still kinda are) and I spotted for a week then a heavy painful period for another week. However it was so worth how great it&#039;s been since getting past that first month! My face is clearer, my hormones are in check, my boobs are bigger but I haven&#039;t gained weight anywhere else, and I&#039;m not pregnant! (And I don&#039;t use condoms) would definitely suggest it""",7.0,57
Birth Control,"""I got it 3 months ago. The insertion was quick but very painful, after it was over I laid down for ten minutes and I was ready to go, some cramping but nothing an Advil can&#039;t fix. I did bleed heavily for the first 2 months during my period and spotting too, and cramping bad. Now on the 3rd month I am spotting a little bit and no heavy periods. No weight gain but I have been breaking out a lot, this is a huge concern because I have always had a clear face, I just purchased some acne creams, I&#039;ll see if that helps. Still, getting pimples beats getting pregnant for me. My sex drive has decreased so my partner has to work a little harder to get me going. Other than that I will be sticking to Mirena.  I am 29, no children.""",8.0,15
Birth Control,"""I have been on birth control since I was 10 because of chronic migraines. When I had it put in it stung for like 10 min then nothing. I have my period once a month from 3-5 days. Very light. No weight gain and it has helped me lose weight. I am not sleepy and I do not have my migraines anymore. Yay no hospital visits. It cost as much as regular pills for 3 years. The only difference is that you do not have to remember to take a pill daily. Everyone&#039;s body reacts different and mine likes the Nexplanon.""",10.0,8
Birth Control,"""Honestly I LOVE this birth control! I am very sensitive to birth control and this is the first one that has helped me. First off for anyone who doesn&#039;t have insurance GO TO THE WEBSITE! There is a discount card there that you can sign up for that works for 12 scripts. My monthly script is $30 now. First off my periods were AWFUL. I had cramps so bad. This has increased my breast size by a cup, cleared up my acne, haven&#039;t gained any weight (I am a very healthy eater although) my periods are light maybe lasting 3 days my cramps are very mild if any (Aleve liquid gels are the best). Be sure you take this at the SAME TIME everyday! Stay safe and healthy!""",10.0,30
Muscle Spasm,"""After a bad car accident I&#039;ve been prescribed several medications all of which had side effects that made them not possible to function with. Zanaflex is great, it starts working in about an hour after ingestion, it does make me sleepy so I take it one hour before bed and have a wonderful sleep. I wake up with out any grogginess the next morning.  The only reason I didn&#039;t rate it a 10 is that if I took it during the day I would be drowsy.""",9.0,143
Birth Control,"""I&#039;ve only been on it for a month, but I&#039;m really liking it so far. I haven&#039;t experienced any noticeable side effects. I have trouble with irregular &amp; painful periods, acne, depression, mood swings, insomnia, etc. So far I&#039;ve noticed that I haven&#039;t broken out since I started this birth control. I also have felt less depressed. I&#039;ve had 1 period while on this birth control and it was just as painful as usual, but the bleeding was much slower and much lighter. (I go through 2 tampons every 8 hours as opposed to 2 every 1 hour) I haven&#039;t noticed any mood swings and my insomnia has definitely improved. Overall I really like this birth control. The only thing that could make it better is if it made my periods completely pain-free.""",10.0,9
Vaginal Yeast Infection,"""I took it at 5pm and all of my symptoms were gone by 11:30. I got the yeast infection from antibiotics and I&#039;m so glad it&#039;s gone! This medication is amazing. Also I see a lot of ladies saying they have Chronic yeast infections, my advice is to change you diet and health routine.""",10.0,88
"Diabetes, Type 2","""It has worked well and I have lost some weight BUT I have been experiencing smelling nail polish remover (acetone) which even sent me scared of DKA to the ER!  Still happening and no explanation.  About to stop taking it because this scares me.""",6.0,27
Chronic Pain,"""Almost 2 months on just 20 mg pain mgmt narcotics for chronic pain, many procedures little help, also CPTSD, GAD, pos. bipolar, depression. MY BACK PAIN AND SCIATIC GONE after 5 days on a low dose. Reserving judgement on the rest. Increase dose to 60 mg. I expect to get a hint in the next week. May have overactive mind/severe difficulty sleeping tho. Higher dose may help. But the pain relief - wouldn&#039;t have believed it if someone told me. So have to weigh pain vs insomnia or other side effect I might get. Good luck with this medicine! Insanely expensive and I know from girlfriends experience withdrawal can be bad.""",9.0,67
Birth Control,"""I was scared to take birth control pills because I recently had a tough fight with depression, and I didn&#039;t want to go through mood swings during the adjustment period for these pills. However, also noticed that when I was depressed, I was at my worst the days before my period. I&#039;ve been taking these for two weeks, and I&#039;ve noticed NO SIDE EFFECTS at all. I actually have been feeling better than ever! Of course, this is my body and everyone else&#039;s can react differently. YOU DON&quot;T KNOW HOW YOU&#039;LL REACT TILL YOU TRY IT.""",10.0,28
Urinary Tract Infection,"""Felt mild relief, Doc said it should be gone in 3 days gave me enough to take it for 5 days in case it was not gone. I also experienced fevers and achiness. Not pleasant. Everyday I had discomfort and today I am out of it and feel terrible with my urinary tract symptoms again.""",1.0,54
Depression,"""I&#039;ve battled depression for five years and anxiety since I was a kid. The first two weeks on Prozac, everything got ten times worse. I couldn&#039;t function or stop crying or hating myself. But after that, the depression subsided. I&#039;m more confident, calm, and I shy from negative thoughts and sadness rather than welcoming those things like I used to. It has helped my depression an incredible amount, but I have seen a little less improvement in the anxiety (even with cognitive behavioral therapy). Side effects for me are lots of yawning and loss of appetite.""",8.0,70
Bowel Preparation,"""I was scared to take this after reading all the negative reviews but it wasn&#039;t half as bad as I had anticipated. It tastes like grape cough syrup. I sucked it through a straw to get past my taste buds. It started taking affect about 20 mins after ingestion. I used the restroom for the next 3 hours. Then went to sleep. No nausea, cramps. Just the urge to go. I did have a little leakage so I suggest sitting on a towel if you decide to lay in bed. I also didnt drink the whole bottle in 1 sitting. I broke it down into 2 parts for each bottle. I started at 4pm, took another dose at 6 pm, and repeated same process at 4 am with an 1130 am appt. Time. I did this to reduce any chances of nausea (I was thinking maybe the mass amount taken at once could be the cause for others having nausea) Im a 150 pound 29 year old female. I would recommend this product.""",9.0,17
Emergency Contraception,"""I took the pill 21hrs later, about $55 at Walgreens. These are the symptoms I experienced that may/may not be related to pill: fatigue, hormonal, severe chin breakouts, slight breast tenderness, stiffness in lower right hip. I got my period this morning, 2 days late. So yay it worked! """,10.0,23
Depression,"""I was desperate for something that would get me out of the dark abyss that is anxiety and depression, and get rid of the constant thoughts of suicide. I turned to Pristiq - it was new, and made out to be a miracle. And it was. I had no side effects when I started taking it. I was able to get back to work and perform better in school. Everything seemed great. I had my life back. Until, months later, I went my first day without it. The withdrawal symptoms were crippling. Paranoia, a pounding headache, vertigo, and sweating are just a few of the symptoms I experienced in my withdrawal.  The headache was so severe I could do nothing but lie down. I still take. Too difficult to quit. """,6.0,97
Opiate Dependence,"""I just want to say that this medication is a God Send. The 24 hour waiting period before was pure hell but I needed that to remember the pain that I had caused myself. This has truly been a turning point in my life. Thanks""",10.0,61
Anxiety and Stress,"""Ok this is my third review in just less than a year. Here are the pros:
weight loss (16 pounds lost), eliminated my anxiety issues, no more Klonopin, very calm, cool and collected attitude, improved vision and I feel great! I can give presentations in front of many people without hesitation or anxiety buildup. 
Now for the cons: Be careful drinking alcohol after taking your daily dose. I have experienced severe impairment after just a few drinks that I normally handle with ease. Usually it happens if I forget to take my dose in the morning and take it after work instead. If I don&#039;t give it time to metabolize in my system and drink on it, 2 beers can feel like 6. Be mindful of that and do not operate machinery/cars.""",10.0,297
Bladder Infection,"""It gave me an allergic reaction , swelling , hives tight chest and wheezing""",1.0,5
Anxiety,"""Started low dose of 0.25mg and it has changed my life! Only take lowest dose needed and work with a therapist because medicine doesn&#039;t do all the work..YOU have to as well.""",10.0,75
Constipation,"""After my doctor found &quot;bad&quot; polyps during a routine colonoscopy one year ago, I have to go thru the procedure again (tomorrow).  I took the magnesium citrate at 11:00 am and exactly three hours later, it started working.  After reading all of the previous reviews, it seems that it works for everyone differently - some rather quickly and others like myself several hours later. Drink lots of water with it to stay hydrated and walk around your house to get your system moving.""",9.0,5
Obesity,"""Just starting month 3 on Xenical. My BMI has dropped below 30, so no longer obese. Still a way to go, but over a stone gone &amp; kept off. Feel so much better. Sleeping better, eating better &amp; jogging (never jogged in my life!). Looking forward to my next weigh in, in Sept.""",10.0,145
Birth Control,"""I started taking Minastrin in November after Loestrin was discontinued, I was told it was the same pill just a different name (I disagree). Like Loestrin I take Minastrin every morning at 8 a.m. I have been taking Minastrin now for almost a year. I find I have cramps all the time, I get mad very easily, no sex drive whatsoever. I&#039;m not sure if this is related but I get hot and sweat very easy now. I have gained a good bit of weight in my thighs and lower stomach, again not sure if that is related to Minastrin. When I go for my yearly exam I will be looking at switching.""",3.0,35
Multiple Sclerosis,"""I got diagnosed after numerous tests.  I researched it and new I had Multiple Sclerosis, but Neuro just had to keep doing tests for months.  I would get double vision about once a month and my stomach and left leg would go numb a lot.  Finally was diagnosed and got on Copaxone and zero flare ups for 4 years. I also take multivitamin and 8000 IU of vitamin D per day. Get on Copaxone and take vitamin D if you get diagnosed.""",10.0,90
Inflammatory Conditions,"""Great for Lupus.""",10.0,26
Bowel Preparation,"""No cramps, no nausea.  Chills and shaking kind of bad.
Procedure was easy.

DO IT!""",7.0,25
Depression,"""I have been in this medicine for 7 months, first started on 20mg, now increasing to 40mg. I am taking it for  depression and anxiety. It takes about a month before I see some effects. Mood was lifted and feel calmer but can&#039;t  stop yawning. In the beginning, I did felt increased anxiety before this subsides...I will continue to take this medicine and hope to get better.""",6.0,68
Weight Loss,"""I&#039;m a 5 foot 20 year old woman And weigh 170 lbs. I&#039;ve only been taking it for a week And so far I lost 7 lbs. that&#039;s without exercise. Qysmia is way to much for my budget so my doctor prescribed me Adipex and Topamax. It the same thing I just have to take two pills instead of one. It really does work but I do have some complaints. The first few days I took them I couldn&#039;t sleep at all.  My mouth is dry and it has this funny, nasty taste that won&#039;t go away. When I go to drink or eat water I feel like I need to vomit, but I force myself to drink plenty of water. I have bad mood swings. I get so angry at little things. I am thinking whether I should stop taking them. It really does work. My mom takes this and she has no complaints.""",8.0,11
Acne,"""I started taking doxycycline last year around May, because the acne on my back was getting worse and worse. 
These pills are really hard for me to take, because they make me so nauseous. It took a month or two but completely cleared up my back, and the skin on my face was flawless. 

Being dumb, I completely stopped taking them, because my skin was so clear and I was sick of the nausea so they didn&#039;t seem worth it. (My doctor recommended that I slowly phase them out, should have listened.)

Around Christmas time, my face started breaking out worse then it ever has. (Although my back was still super clear) 
I think it was stress that caused the acne, but either way it was really bad and only getting worse. So I&#039;ve started taking them again.""",9.0,14
ADHD,"""My son was diagnosed with ADHD at 5. My friends, society along with my own guilt made me feel like a horrible mom for considering meds. Kind of was horrible for my son he hated school and cried to not go. 1st was a constant struggle and when we started trying different medicines. They all turned him in the &quot;zombie&quot; you hear about. I stopped trying medicines and thought we would just have to deal with 3-4 hours of homework a night. In 2nd grade we heard about Daytrana. My son made a huge improvement in school. His teacher (who is wonderful) was amazed by his focus in class. My son went from being an intelligent child who could not focus to an exceptional student. The red marks caused by the patch are hard to see as a parent, but my sons self worth out ways them.""",9.0,38
Nausea/Vomiting,"""&quot;Promethazine, you are my hero and I love you.&quot; whoever came up with this, you are a hero. Best medicine for nausea.""",10.0,58
Birth Control,"""I&#039;ve had Nexplanon for a month now and I love it. I didn&#039;t get a full blown period, just spotting for a week. I have not gotten any of the side effects I see in these reviews. But not only that, Nexplanon does not have a side effect of gaining weight, it&#039;s explained to you when you get it that it doesn&#039;t have the hormone that birth control pills have that cause weight gain. So yes I would recommend this type of birth control.""",9.0,17
Birth Control,"""I&#039;ve never been on birth control until now. I&#039;m at the end of my first month of Minastrin and it&#039;s been an awful experience! It caused so many relationship issues for me, due to the fact that it makes me an emotional mess! I cry all of the time and find myself angry and searching for something ridiculous to blame it on. My breasts got larger and although I haven&#039;t noticed any weight gain, I have noticed headaches and nausea. I&#039;m about to cry right now, and I have no idea why!""",2.0,35
Anxiety,"""Life changing medicine for panic disorder and anxiety.  Zero side effects save for slight insomnia on days 1-3 and a bit of muscle weirdness and stomach pain (similar to ibuprofen) in week 1.  Most days I am a normal person now.  Still supplement with clonazepam for trigger situations on occasion, but most of the time I can focus on life without panic distracting me.""",9.0,70
Birth Control,"""I was scared to take birth control pills because I recently had a tough fight with depression, and I didn&#039;t want to go through mood swings during the adjustment period for these pills. However, also noticed that when I was depressed, I was at my worst the days before my period. I&#039;ve been taking these for two weeks, and I&#039;ve noticed NO SIDE EFFECTS at all. I actually have been feeling better than ever! Of course, this is my body and everyone else&#039;s can react differently. YOU DON&quot;T KNOW HOW YOU&#039;LL REACT TILL YOU TRY IT.""",10.0,28
Migraine Prevention,"""I&#039;ve been on Topamax for about 5 months now (100 am/100 pm) and finally giving up faith. The negative side effects outweigh the slight change in my migraines. Carbonated beverages taste terrible, I have to force myself to eat, I stutter constantly, I can never find the right words and often switch up words in a sentence. My memory is horrid, and I always see tracers, which is enough to drive anyone crazy. The only pluses are the slight decrease in consistency of my migraines and the weight loss.""",4.0,53
Weight Loss,"""I was fat until about nine months ago. Now I am chunky but weigh sixty three pounds less. Start 229 pounds now 166 pounds. Just started the stationary bike and look forward to getting to 148lbs and that is livable. My blood work and other issues are starting to make good progress. I would like to recommend this to the yo yo dieters. No side effects except a little dry mouth.""",10.0,144
